season,round,race_name,race_date,circuit_id,circuit_name,weekend_temperature_avg,weekend_temperature_min,weekend_temperature_max,weekend_humidity_avg,weekend_precipitation_total,weekend_rain_hours,weekend_rain_flag,weekend_wind_speed_avg,weekend_wind_speed_max,weekend_cloud_cover_avg,fp1_period_temperature_avg,fp1_period_temperature_min,fp1_period_temperature_max,fp1_period_humidity_avg,fp1_period_precipitation_total,fp1_period_rain_hours,fp1_period_rain_flag,fp1_period_wind_speed_avg,fp1_period_wind_speed_max,fp1_period_cloud_cover_avg,race_day_temperature_avg,race_day_temperature_min,race_day_temperature_max,race_day_humidity_avg,race_day_precipitation_total,race_day_rain_hours,race_day_rain_flag,race_day_wind_speed_avg,race_day_wind_speed_max,race_day_cloud_cover_avg,weather_observations
2014,1,Australian Grand Prix,2014-03-16,albert_park,Albert Park Grand Prix Circuit,18.650000000000002,12.9,28.2,57.145833333333336,21.500000000000004,10,1,17.79375,35.0,65.02083333333333,21.208333333333332,15.5,28.2,55.458333333333336,20.8,8,1,20.412499999999998,35.0,64.41666666666667,16.091666666666665,12.9,20.0,58.833333333333336,0.7,2,1,15.174999999999999,21.3,65.625,72
2014,2,Malaysian Grand Prix,2014-03-30,sepang,Sepang International Circuit,26.516666666666666,24.2,30.6,84.33333333333333,13.9,18,1,5.802083333333333,12.6,82.29166666666667,26.204166666666662,24.2,28.8,85.58333333333333,10.600000000000001,13,1,4.966666666666668,12.1,83.625,26.829166666666666,24.2,30.6,83.08333333333333,3.3,5,1,6.6375,12.6,80.95833333333333,72
2014,3,Bahrain Grand Prix,2014-04-06,bahrain,Bahrain International Circuit,22.22708333333333,20.0,24.0,54.041666666666664,0.0,0,0,20.181250000000002,24.9,0.0,22.09166666666667,20.0,23.7,52.25,0.0,0,0,19.770833333333332,24.9,0.0,22.3625,20.7,24.0,55.833333333333336,0.0,0,0,20.591666666666665,23.7,0.0,72
2014,4,Chinese Grand Prix,2014-04-20,shanghai,Shanghai International Circuit,14.583333333333334,11.8,17.8,86.41666666666667,18.6,15,1,13.754166666666668,21.1,89.97916666666667,14.316666666666668,13.8,15.2,90.79166666666667,18.6,15,1,15.683333333333332,21.1,100.0,14.85,11.8,17.8,82.04166666666667,0.0,0,0,11.825000000000001,15.1,79.95833333333333,72
2014,5,Spanish Grand Prix,2014-05-11,catalunya,Circuit de Barcelona-Catalunya,18.60625,14.1,25.0,74.22916666666667,0.0,0,0,8.4625,20.9,73.97916666666667,19.245833333333334,14.1,25.0,71.20833333333333,0.0,0,0,8.929166666666667,20.9,63.083333333333336,17.96666666666667,15.5,21.3,77.25,0.0,0,0,7.995833333333333,20.6,84.875,72
2014,6,Monaco Grand Prix,2014-05-25,monaco,Circuit de Monaco,17.164583333333336,13.2,19.5,75.85416666666667,0.3,1,1,5.514583333333334,11.1,60.770833333333336,16.8375,13.2,19.5,75.25,0.0,0,0,6.366666666666667,11.1,28.958333333333332,17.491666666666664,14.2,19.4,76.45833333333333,0.3,1,1,4.6625000000000005,8.7,92.58333333333333,72
2014,7,Canadian Grand Prix,2014-06-08,villeneuve,Circuit Gilles Villeneuve,20.868750000000002,14.0,27.4,65.75,0.0,0,0,10.0875,15.2,47.1875,20.416666666666668,14.0,26.4,65.91666666666667,0.0,0,0,11.495833333333332,15.2,14.083333333333334,21.320833333333333,14.9,27.4,65.58333333333333,0.0,0,0,8.679166666666667,13.2,80.29166666666667,72
2014,8,Austrian Grand Prix,2014-06-22,red_bull_ring,Red Bull Ring,16.0125,8.6,23.3,68.79166666666667,0.4,4,1,5.164583333333334,11.2,39.458333333333336,14.449999999999998,8.6,19.8,70.625,0.2,2,1,6.683333333333333,11.2,54.333333333333336,17.575,9.5,23.3,66.95833333333333,0.2,2,1,3.6458333333333335,7.0,24.583333333333332,72
2014,9,British Grand Prix,2014-07-06,silverstone,Silverstone Circuit,16.102083333333336,12.8,19.3,70.95833333333333,4.300000000000001,12,1,12.699999999999998,19.9,88.6875,16.816666666666666,15.1,19.3,77.83333333333333,4.300000000000001,12,1,12.833333333333334,19.9,97.04166666666667,15.387500000000001,12.8,18.5,64.08333333333333,0.0,0,0,12.566666666666668,18.4,80.33333333333333,72
2014,10,German Grand Prix,2014-07-20,hockenheimring,Hockenheimring,24.55,17.4,32.7,60.0,1.6,3,1,7.3812500000000005,16.3,66.625,25.71666666666667,17.4,32.7,53.666666666666664,0.0,0,0,8.091666666666667,11.6,38.375,23.38333333333333,20.2,27.5,66.33333333333333,1.6,3,1,6.670833333333334,16.3,94.875,72
2014,11,Hungarian Grand Prix,2014-07-27,hungaroring,Hungaroring,22.802083333333332,16.0,27.9,70.04166666666667,6.500000000000001,9,1,8.847916666666665,14.5,40.6875,22.90416666666667,16.0,27.9,65.70833333333333,0.2,1,1,7.354166666666667,12.0,25.541666666666668,22.7,18.9,27.2,74.375,6.300000000000001,8,1,10.341666666666667,14.5,55.833333333333336,72
2014,12,Belgian Grand Prix,2014-08-24,spa,Circuit de Spa-Francorchamps,11.489583333333334,7.4,15.2,83.41666666666667,6.0,12,1,12.735416666666666,20.5,58.229166666666664,11.866666666666669,9.4,15.2,90.04166666666667,5.7,9,1,13.566666666666668,20.5,73.5,11.112500000000002,7.4,14.8,76.79166666666667,0.30000000000000004,3,1,11.904166666666667,16.4,42.958333333333336,72
2014,13,Italian Grand Prix,2014-09-07,monza,Autodromo Nazionale di Monza,20.09166666666667,14.8,25.2,80.27083333333333,0.0,0,0,5.116666666666666,8.7,34.083333333333336,19.925,14.8,25.2,79.95833333333333,0.0,0,0,5.083333333333333,8.3,28.0,20.258333333333336,16.2,24.5,80.58333333333333,0.0,0,0,5.1499999999999995,8.7,40.166666666666664,72
2014,14,Singapore Grand Prix,2014-09-21,marina_bay,Marina Bay Street Circuit,26.73333333333333,25.1,28.8,83.5,10.6,23,1,6.7375,12.9,75.08333333333333,26.40416666666667,25.1,27.6,86.375,9.399999999999999,18,1,5.508333333333333,10.8,78.79166666666667,27.0625,25.6,28.8,80.625,1.2,5,1,7.966666666666666,12.9,71.375,72
2014,15,Japanese Grand Prix,2014-10-05,suzuka,Suzuka Circuit,20.35833333333333,19.1,23.7,79.10416666666667,18.3,25,1,12.304166666666667,24.5,98.6875,20.787499999999998,19.4,23.7,70.08333333333333,0.2,1,1,16.645833333333332,24.5,97.375,19.929166666666667,19.1,21.5,88.125,18.099999999999998,24,1,7.962500000000001,15.5,100.0,72
2014,16,Russian Grand Prix,2014-10-12,sochi,Sochi Autodrom,19.41875,13.8,23.2,71.16666666666667,0.0,0,0,4.172916666666667,6.6,2.5208333333333335,18.895833333333332,13.8,22.9,71.95833333333333,0.0,0,0,4.279166666666667,6.6,0.0,19.941666666666666,16.0,23.2,70.375,0.0,0,0,4.066666666666666,5.7,5.041666666666667,72
2014,17,United States Grand Prix,2014-11-02,americas,Circuit of the Americas,15.447916666666666,9.9,23.3,50.645833333333336,0.0,0,0,12.547916666666666,21.1,35.270833333333336,14.625,9.9,19.4,46.958333333333336,0.0,0,0,10.220833333333333,12.6,9.333333333333334,16.270833333333336,9.9,23.3,54.333333333333336,0.0,0,0,14.875,21.1,61.208333333333336,72
2014,18,Brazilian Grand Prix,2014-11-09,interlagos,Autódromo José Carlos Pace,20.166666666666668,16.7,24.7,89.35416666666667,30.9,22,1,10.414583333333335,16.5,86.41666666666667,20.908333333333335,18.3,24.7,90.75,29.500000000000004,14,1,9.420833333333333,12.6,99.83333333333333,19.425,16.7,23.0,87.95833333333333,1.4000000000000001,8,1,11.408333333333333,16.5,73.0,72
2014,19,Abu Dhabi Grand Prix,2014-11-23,yas_marina,Yas Marina Circuit,23.381250000000005,16.1,30.5,71.91666666666667,0.0,0,0,8.064583333333333,17.3,13.0625,23.083333333333332,16.1,29.0,70.95833333333333,0.0,0,0,8.625,16.6,6.666666666666667,23.679166666666664,16.7,30.5,72.875,0.0,0,0,7.504166666666666,17.3,19.458333333333332,72
2015,1,Australian Grand Prix,2015-03-15,albert_park,Albert Park Grand Prix Circuit,16.818749999999998,8.8,28.8,64.22916666666667,1.5,7,1,15.85,22.6,63.125,18.2,8.8,28.8,63.541666666666664,1.2000000000000002,5,1,14.066666666666665,22.6,61.25,15.4375,13.6,18.7,64.91666666666667,0.30000000000000004,2,1,17.633333333333333,21.2,65.0,72
2015,2,Malaysian Grand Prix,2015-03-29,sepang,Sepang International Circuit,27.075,23.1,31.0,78.52083333333333,3.5,7,1,5.95625,11.1,77.77083333333333,27.3125,24.0,31.0,77.04166666666667,0.8999999999999999,3,1,6.8374999999999995,11.1,73.91666666666667,26.837500000000002,23.1,30.5,80.0,2.6000000000000005,4,1,5.075,8.9,81.625,72
